name,quantity_man,quantity_woman
eau,2500,2000
energie,2500,2000
proteines,56,46
lipides,80,70
sucres,50,40
fibres,30,25
cholesterol,0,0
calcium,1000,1000
chlorure,2300,2300
cuivre,1.6,1.3
fer,11,16
iode,150,150
magnésium,350,300
manganese,3,3
phosphore,550,550
potassium,3500,3000
selenium,70,60
sodium,2000,2000
zinc,11,8
vitamine_a,750,650
vitamine_b1,1.2,1.1
vitamine_b2,1.3,1.1
vitamine_b3,16,14
vitamine_b5,5,5
vitamine_b6,1.6,1.6
vitamine_b9,330,330
vitamine_b12,4,4
vitamine_c,110,95
vitamine_d,15,15
vitamine_e,13,11
vitamine_k1,70,70
vitamine_k2,0,0
