alim_nom_fr,eau_g_100g,energie_kcal_100g,proteines_g_100g,lipides_g_100g,sucres_g_100g,fibres_g_100g,cholesterol_mg_100g,calcium_mg_100g,chlorure_mg_100g,cuivre_mg_100g,fer_mg_100g,iode_µg_100g,magnésium_mg_100g,manganèse_mg_100g,phosphore_mg_100g,potassium_mg_100g,sélénium_µg_100g,sodium_mg_100g,zinc_mg_100g,vitamine_a_µg_100g,vitamine_b1_mg_100g,vitamine_b2_mg_100g,vitamine_b3_mg_100g,vitamine_b5_mg_100g,vitamine_b6_mg_100g,vitamine_b9_µg_100g,vitamine_b12_µg_100g,vitamine_c_mg_100g,vitamine_d_µg_100g,vitamine_e_mg_100g,vitamine_k1_µg_100g,vitamine_k2_µg_100g
"Carotte, crue",90,30.2,0.78,0.5,4.85,2.9,0,36.2,60.7,0.052,0.25,20,13.6,0.098,24.8,274,0.83,49,0.5,1100,0.05,0.03,0.41,0.24,0.14,11.2,0,3.73,0.1,0.21,6.5,0
"Concombre, chair et peau, cru",95.2,16.8,0.65,0.11,1.67,0.5,0,19.2,0,0.026,0.13,1.18,13.6,0.085,24,157,10,4.8,0.095,3.75,0.027,0.033,0.098,0.26,0.04,7,0,2.8,0,0.03,16.4,0
"Oignon, cru",89.6,39,1.1,0.62,4.8,1.7,0,25,61,0.0001,0.00019,10,9,0.1,37,190,2.3,39,0.23,2.08,0.05,0.05,0.05,0.15,0.1,29.6,0,3.9,0,0.02,0.35,0
"Poivron rouge, cru",90.2,33.6,1.06,0.5,4.8,3.2,0,4.8,29.7,0.04,0.21,20,8.2,0.08,19,180,20,5,0.14,46.2,0.036,0.11,0.34,0.18,0.31,81.8,0,121,0,3.45,3.16,0
"Oignon rouge, cru",90.3,35,1.31,0.4,5.2,2.5,0,22,20.7,0.05,0.19,20,9,0.12,29,190,20,5,0.21,0.21,0.029,0.01,0.18,0.15,0.049,10.9,0,4.09,0,0.12,0.8,0
"Tomate ronde, crue",94.6,17.5,0.5,0.5,3,1,0,6.8,34.3,0.02,0.17,20,7,0.1,20,210,20,5,0.08,67.3,0,0.01,0.45,0.061,0.07,13.5,0,19.9,0,0.53,1.13,0
"Pomme de terre, sans peau, crue",79.3,80,2.02,0.09,0.78,2.2,0,14.3,50,0.079,0.78,1.74,22,0.11,57,421,22.9,0.44,0.35,0.083,0.08,0.032,1.05,0.3,0.3,16,0,19.7,0,0.01,1.9,0
"Lentille verte, sèche",9.5,327,25.1,1.8,1.1,16.4,0,64,81,0.6,6.3,20,97,1,480,940,20,5,3.4,3.06,0.29,0.046,1.98,1.34,0.35,117,0,1.63,0.25,0,11.9,0
"Banane, chair sans peau, crue",75.8,87.6,1.06,0.5,15.6,2.7,0,5.1,79.8,0.06,0.2,20,28,0.36,29,320,20,5,0.14,2.38,0.054,0.01,0.39,0.31,0.18,19,0,7.16,0,0.08,0.8,0
"Kiwi, chair sans peau, avec pépins, cru",83.5,60.9,0.88,0.6,8.9,2.4,0,29,34.7,0.15,0.16,20,12,0.05,26,290,20,5,0.12,3.17,0.015,0.021,0.23,0.24,0.036,22.2,0,81.9,0,0.96,16.6,0
"Pomme, chair et peau, crue",85.4,54,0.25,0.25,10.6,1.4,0,5.34,61,0.041,0.099,0.37,6.47,0.036,11.4,119,10,1.5,0.031,1.78,0.016,0.026,0.081,0.058,0.044,3,0,4.6,0,0.19,1.78,0
"Amande, avec peau, sans sel ajouté",4.8,615,18.8,51.3,4.2,12.5,0,260,20,0.96,3.4,20,270,1.9,510,800,20,5,3.5,0.61,0.15,0.29,1.97,0.62,0.07,120,0,0.5,0.25,22.3,0.8,0
"Noix, cerneau, séchée",4,709,13.3,67.3,3,6.7,0,75,35.1,1.1,2.2,20,140,2.9,360,430,20,5,2.7,1.73,0.3,0.05,0.4,0.67,0.19,120,0.08,0.77,0.25,1.67,2.4,0
"Riz blanc, cru",12.6,350,7.02,0.79,0.12,1.53,0,13.3,0,0.18,1.94,6.54,27.7,1.08,106,92.3,9.42,2.33,1.12,0,0.24,0.048,2.44,1.21,0.16,7.67,0,0,0,0.11,0.1,0
"Riz thaï ou basmati, cru",12.5,351,7.08,0.63,0,1.06,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Farine de blé tendre ou froment T55 (pour pains),12.5,350,9.03,1,1.5,3.2,0,23,63.6,0.14,1,20,27,0.64,110,180,20,5,0.81,0.083,0.15,0.01,0.1,0.56,0.054,15.4,0,0.5,0.25,0.4,0.8,0
"Boeuf, steak haché 15% MG cru",65.4,215,20.2,14.8,0,0,68,15,0,0.067,2.64,3.9,18,0.01,171,295,6.78,41.7,4.8,4,0.042,0.15,4.1,0.55,0.2,0,1.9,0,0.1,0.17,1.3,7.4
"Poulet, haut de cuisse, viande crue",76.2,116,19.7,4.12,0,0,94,7,0,0.062,0.81,0,23,0.013,185,242,0,95,1.58,7,0.088,0.2,5.56,1.23,0.45,0,0.61,0,0,0.18,2.9,0
"Poulet, poitrine, viande et peau crues",69.5,167,20.9,9.25,0,0,64,11,0,0.039,0.74,0,25,0.018,174,220,0,63,0.8,24,0.063,0.085,9.91,0.8,0.53,0,0.34,0,0.4,0.27,0,0
"Lardon nature, cru",56.9,269,16.6,22.1,0.78,0.38,60.7,20,0,0.35,0.42,0.95,15.6,0.2,147,540,5.77,1130,1.67,0,0.42,0.16,4.87,0.4,0.21,0,0.38,0.8,0.75,0.3,0,0
"Saumon, élevage, cru",66.5,193,20.5,12.4,0,0.25,53.6,5.84,73.2,0.1,0.48,8.21,27.4,0.1,181,358,16.5,45.4,0.36,4.27,0.21,0.076,8.25,0.95,0.58,0,3.95,1.8,4.92,2.3,0.3,0.25
Oeuf cru,76.3,140,12.8,9.83,0.06,0,372,76.8,0,0.055,1.75,35.3,11,0.027,198,138,2.58,124,1.01,160,0.04,0.46,0.075,1.53,0.17,0,0.89,0,2,1.05,0.3,5.6
"Oeuf, blanc (blanc d'oeuf), cru",87.6,48.1,10.9,0.17,0.71,0,0,7,0,0.023,0.08,2.2,11,0.011,15,163,9.97,166,0.03,0,0.004,0.44,0.11,0.19,0.005,0,0.09,0,0,0,0,0.65
"Oeuf, jaune (jaune d'oeuf), cru",55,307,15.5,26.7,0.56,0,939,50.2,0.3,0.1,0.7,175,1.5,0.1,141,43,83.5,19.1,1.1,343,0.17,0.38,0.16,2.87,0.29,0,3.03,0,2,2.58,0.7,23.8
Lait demi-écrémé (aliment moyen),89.3,47.5,3.46,1.55,4.91,0,5.37,121,97.4,0.0034,0.041,23.9,10.7,0.0034,92.1,158,2.45,34.8,0.41,9.88,0.022,0.23,0.096,0.36,0.031,0.85,0.18,0.99,0.12,0.049,0.11,0.5
Fromage de chèvre bûche,54.8,285,18.8,23.3,0,0,95.9,190,1040,0.1,0.22,30,12.7,0,183,167,10.1,630,0.61,0,0.022,0.47,1.05,0.52,0.16,0,0,0,0.5,0.29,0,0
